subject,recording,stage,precision,recall,f1,support,zero_support
4,1,W,0.6690647482014388,0.93,0.7782426778242678,200.0,False
4,1,N1,0.4396551724137931,0.3072289156626506,0.3617021276595745,166.0,False
4,1,N2,0.9840319361277445,0.7951612903225806,0.8795718108831401,620.0,False
4,1,N3,0.6075949367088608,0.9056603773584906,0.7272727272727273,53.0,False
4,1,REM,0.6781609195402298,0.9030612244897959,0.774617067833698,196.0,False
8,1,W,0.8888888888888888,0.9411764705882353,0.9142857142857143,323.0,False
8,1,N1,0.896551724137931,0.38235294117647056,0.5360824742268041,68.0,False
8,1,N2,0.7352941176470589,0.8587786259541985,0.7922535211267606,262.0,False
8,1,N3,0.8945783132530121,0.8485714285714285,0.8709677419354839,350.0,False
8,1,REM,0.864,0.8244274809160306,0.84375,131.0,False
11,1,W,0.8188405797101449,0.8968253968253969,0.8560606060606061,126.0,False
11,1,N1,0.06896551724137931,0.46153846153846156,0.12,13.0,False
11,1,N2,0.8577586206896551,0.7928286852589641,0.8240165631469979,502.0,False
11,1,N3,0.9080459770114943,0.6124031007751938,0.7314814814814815,129.0,False
11,1,REM,0.8618421052631579,0.8291139240506329,0.8451612903225807,158.0,False
19,1,W,0.8439024390243902,0.9202127659574468,0.8804071246819338,188.0,False
19,1,N1,0.6805555555555556,0.4152542372881356,0.5157894736842106,118.0,False
19,1,N2,0.9561855670103093,0.8907563025210085,0.9223119950279677,833.0,False
19,1,N3,0.6918238993710691,1.0,0.8178438661710037,110.0,False
19,1,REM,0.8328173374613003,0.9405594405594405,0.8834154351395731,286.0,False
21,1,W,0.9238578680203046,0.9771812080536912,0.9497716894977168,745.0,False
21,1,N1,0.7246376811594203,0.4716981132075472,0.5714285714285714,106.0,False
21,1,N2,0.8891170431211499,0.8216318785578748,0.854043392504931,527.0,False
21,1,N3,0.42727272727272725,0.9591836734693877,0.5911949685534591,49.0,False
21,1,REM,0.9435483870967742,0.7748344370860927,0.850909090909091,151.0,False
22,1,W,0.6929460580912863,0.9653179190751445,0.8067632850241546,173.0,False
22,1,N1,0.8,0.12669683257918551,0.21875,221.0,False
22,1,N2,0.6815415821501014,0.7288503253796096,0.7044025157232704,461.0,False
22,1,N3,0.34065934065934067,1.0,0.5081967213114754,62.0,False
22,1,REM,0.9054054054054054,0.7362637362637363,0.8121212121212121,182.0,False
23,1,W,0.6666666666666666,0.9921259842519685,0.7974683544303798,127.0,False
23,1,N1,0.8333333333333334,0.1079136690647482,0.1910828025477707,139.0,False
23,1,N2,0.8037825059101655,0.821256038647343,0.8124253285543608,414.0,False
23,1,N3,0.15384615384615385,1.0,0.26666666666666666,12.0,False
23,1,REM,0.9285714285714286,0.8584905660377359,0.8921568627450981,212.0,False
31,1,W,0.84688995215311,0.9888268156424581,0.9123711340206185,358.0,False
31,1,N1,0.8421052631578947,0.20253164556962025,0.32653061224489793,79.0,False
31,1,N2,0.883289124668435,0.919889502762431,0.9012178619756428,362.0,False
31,1,N3,0.9375,0.7964601769911505,0.861244019138756,113.0,False
31,1,REM,0.9027777777777778,0.9154929577464789,0.9090909090909091,142.0,False
33,1,W,0.9768115942028985,0.9582938388625593,0.9674641148325359,1055.0,False
33,1,N1,0.582089552238806,0.18396226415094338,0.27956989247311825,212.0,False
33,1,N2,0.7229129662522202,0.8984547461368654,0.8011811023622047,453.0,False
33,1,N3,0.0,0.0,0.0,0.0,True
33,1,REM,0.8260869565217391,0.9047619047619048,0.8636363636363636,168.0,False
34,1,W,0.7976653696498055,0.9951456310679612,0.8855291576673866,618.0,False
34,1,N1,0.5166666666666667,0.20666666666666667,0.29523809523809524,150.0,False
34,1,N2,0.8477801268498943,0.714795008912656,0.7756286266924565,561.0,False
34,1,N3,0.0,0.0,0.0,0.0,True
34,1,REM,0.84251968503937,0.622093023255814,0.7157190635451505,172.0,False
38,1,W,0.9778024417314095,0.986562150055991,0.9821627647714605,893.0,False
38,1,N1,0.7166666666666667,0.45263157894736844,0.5548387096774193,95.0,False
38,1,N2,0.9343434343434344,0.9068627450980392,0.9203980099502488,612.0,False
38,1,N3,0.3333333333333333,0.6875,0.4489795918367347,16.0,False
38,1,REM,0.8191489361702128,0.9625,0.8850574712643678,160.0,False
43,1,W,0.7976878612716763,0.971830985915493,0.8761904761904762,142.0,False
43,1,N1,0.42857142857142855,0.047619047619047616,0.08571428571428572,63.0,False
43,1,N2,0.7344497607655502,0.9274924471299094,0.8197596795727636,331.0,False
43,1,N3,0.8170731707317073,0.8170731707317073,0.8170731707317073,82.0,False
43,1,REM,0.9473684210526315,0.2222222222222222,0.36,81.0,False
61,1,W,0.9493487698986975,0.9174825174825175,0.9331436699857752,715.0,False
